transaction_id,transaction_date,customer_id,customer_name,customer_type,account_open_date,risk_category,kyc_status,transaction_type,amount_inr,currency,transaction_mode,counterfeit_flag,country_of_origin,pep_flag,occupation,annual_income_inr,branch_code,agent_id,notes,violated_rule_ids,violation_category
TXN0028,2024-03-15,CUST9003,Hide & Seek Enterprises,Proprietorship,2023-06-10,Low,Full_KYC_Completed,Cash Deposit,9500000,INR,Cash,N,India,N,Retail,500000,BR997,AGT888,Multiple cash deposits structured below CTR threshold,R-009|R-010|R-011,Structuring / Smurfing
TXN0029,2024-03-12,CUST9004,ABC Law Chambers,Firm,2024-03-01,Medium,Full_KYC_Completed,Online Transfer,15000000,INR,RTGS,N,Unknown,N,Legal Firm,0,BR996,,Law firm refuses to disclose beneficial owner,R-019,Professional Intermediary Violation
TXN0030,2024-03-10,CUST9005,United Bullion Traders,Partnership,2015-01-15,Low,Full_KYC_Completed,Cash Deposit,15000000,INR,Cash,N,India,N,Bullion Dealer,2000000,BR995,AGT777,Bullion dealer incorrectly categorized as low risk,R-003|R-018,High-Risk Mis-categorization
TXN0031,2024-03-08,CUST9006,Sudhir Gupta,Individual,2024-03-08,Low,Partial_KYC,Cash Deposit,180000,INR,Cash,N,India,N,Student,0,BR994,,Simplified KYC account exceeded 1 lakh limit,R-006|R-007,Simplified KYC Limit Breach
TXN0032,2024-03-05,CUST9007,Vikram Singh,Individual,2023-01-15,Medium,Full_KYC_Completed,Cash Withdrawal,5500000,INR,Cash,N,India,N,Private Employee,800000,BR993,AGT666,Funds withdrawn immediately after deposit - no economic purpose,R-011|R-029,Suspicious Transaction Pattern
TXN0033,2024-03-01,CUST9008,Ministry of Defence - Fake,Government,2024-03-01,Low,No_KYC,Wire Transfer,25000000,INR,SWIFT,N,Pakistan,N,Government Official,0,BR992,,Fake government account - transfer to high-risk jurisdiction,R-001|R-013|R-016,Multiple AML Violations
TXN0034,2024-02-28,CUST9009,Global Imports LLC,Company,2022-10-10,Medium,Full_KYC_Completed,Wire Transfer,4500000,INR,SWIFT,N,Iran,N,Import Business,25000000,BR991,,Transaction with Iran - FATF high-risk jurisdiction,R-037|R-016,FATF High-Risk Jurisdiction
TXN0035,2024-02-25,CUST9010,Minister Ahmed Al-Maktoum,Individual,2024-02-25,Low,Full_KYC_Completed,Cash Deposit,2000000,INR,Cash,N,UAE,Y,Foreign Government Official,50000000,BR990,,PEP account opened without senior management approval,R-008,PEP Violation - No Enhanced Due Diligence
TXN0036,2024-03-17,CUST1032,Jaswinder Singh,Individual,2023-06-20,Medium,Full_KYC_Completed,Cash Deposit,1500000,INR,Cash,N,India,N,Contractor,18000000,BR032,,Payment received for completed project,,
TXN0037,2024-03-17,CUST9011,Black Sheep Holdings,Company,2024-01-15,Not_Assessed,Partial_KYC,Wire Transfer,12000000,INR,SWIFT,N,Cayman Islands,N,Investment,0,BR989,,KYC not completed for 3 months after account opening,R-002,Delayed KYC Completion
TXN0038,2024-03-16,CUST1034,Amitabh Roy,Individual,2024-01-18,Low,Full_KYC_Completed,Cash Withdrawal,200000,INR,Cash,N,India,N,Doctor,3600000,BR034,,Cash for home renovation,,
TXN0039,2024-03-16,CUST9012,Fast Cash Traders,Proprietorship,2023-12-01,Medium,Full_KYC_Completed,Cash Deposit,450000,INR,Cash,N,India,N,Retail,3000000,BR988,AGT555,Series of 5 cash deposits of 95k each over 3 days - structured,R-010|R-011,Structuring - CTR Threshold Avoidance
TXN0040,2024-03-15,CUST1036,Priya Fashion Boutique,Proprietorship,2023-12-05,Low,Full_KYC_Completed,Cash Deposit,95000,INR,Cash,N,India,N,Designer,1500000,BR036,,Weekly sales deposit,,
TXN0041,2024-03-15,CUST9013,Paradise Jewels,Partnership,2019-08-10,Medium,Full_KYC_Completed,Cash Deposit,4500000,INR,Cash,N,India,N,Jewellery,20000000,BR987,AGT333,Jewellery account not categorized as high risk,R-018,Jeweller Account - High Risk Not Applied
TXN0042,2024-03-14,CUST1038,Om Sai Metals,Proprietorship,2021-07-19,Medium,Full_KYC_Completed,Cash Deposit,1120000,INR,Cash,N,India,N,Scrap Dealer,12000000,BR038,,Monthly scrap sales,,
TXN0043,2024-03-14,CUST9014,Rapid Remit Services,Firm,2024-02-01,Not_Rated,Partial_KYC,Wire Transfer,8500000,INR,SWIFT,N,Afghanistan,N,Money Transfer,0,BR986,,Multiple transactions to Afghanistan without enhanced due diligence,R-013|R-037,High-Risk Jurisdiction - No Enhanced Monitoring
TXN0044,2024-03-13,CUST1040,United Charitable Trust,Trust,2020-03-30,High,Full_KYC_Completed,Cash Deposit,980000,INR,Cash,N,India,N,Trustee,15000000,BR040,,Foreign donation in cash - requires review,,
TXN0045,2024-03-13,CUST9015,Rajesh Khanna,Individual,2023-10-10,Low,Full_KYC_Completed,Online Transfer,2500000,INR,RTGS,N,India,N,Teacher,500000,BR985,,Transaction amount inconsistent with income profile,R-011,Income-Transaction Mismatch
TXN0046,2024-03-12,CUST1043,Blue Ocean Trading,Company,2019-05-28,High,Full_KYC_Completed,Wire Transfer,3750000,INR,SWIFT,N,Singapore,N,Import,42000000,BR043,,Payment for electronics components,,
TXN0047,2024-03-12,CUST9016,Confidential Client Services,Firm,2024-02-15,Medium,No_KYC,Online Transfer,5000000,INR,RTGS,N,Unknown,N,Consulting,0,BR984,,Intermediary account with no beneficial owner disclosure,R-019,Professional Intermediary - No Beneficial Owner
TXN0048,2024-03-11,CUST1045,Punjab Agro Ltd,Company,2020-11-17,Medium,Full_KYC_Completed,Cash Deposit,470000,INR,Cash,N,India,N,Agriculture,35000000,BR045,,Seasonal harvest deposit,,
TXN0049,2024-03-11,CUST9017,Speed Cash Solutions,Proprietorship,2024-02-20,Low,Partial_KYC,Cash Deposit,55000,INR,Cash,N,India,N,Business,0,BR983,AGT222,Cash deposit in simplified KYC account with cumulative exceeding 1 lakh annually,R-006|R-007,Simplified KYC Annual Limit Breach
TXN0050,2024-03-10,CUST1048,SRK Holdings Pvt Ltd,Company,2021-08-24,High,Full_KYC_Completed,Wire Transfer,14750000,INR,SWIFT,N,Mauritius,Y,Investment,200000000,BR048,,PEP connected - enhanced monitoring applied correctly,,
TXN0051,2024-03-10,CUST9018,North South Trading,Company,2023-11-15,Medium,Full_KYC_Completed,Wire Transfer,3800000,INR,SWIFT,N,North Korea,N,Import,15000000,BR982,,Transaction with DPRK - FATF identified high-risk jurisdiction,R-037,FATF High-Risk Jurisdiction - DPRK
TXN0052,2024-03-09,CUST1050,Vijay Sales,Proprietorship,2023-03-22,Medium,Full_KYC_Completed,Cash Deposit,1580000,INR,Cash,N,India,N,Retail,18000000,BR050,AGT078,High cash deposit - properly monitored,,
TXN0053,2024-03-09,CUST9019,Fast Growth Funds,Company,2024-01-10,High,Partial_KYC,RTGS Transfer,25000000,INR,RTGS,N,India,N,Investment,0,BR981,,Risk categorization not reviewed in last 6 months,R-004,Risk Review Periodicity Violation
TXN0054,2024-03-08,CUST1052,Shree Ram Transport,Partnership,2020-02-10,Medium,Full_KYC_Completed,Cash Deposit,445000,INR,Cash,N,India,N,Logistics,12000000,BR052,,Daily collection,,
TXN0055,2024-03-08,CUST9020,Sudarshan Chawl,Individual,2023-05-20,Low,Full_KYC_Completed,Cash Deposit,25000,INR,Cash,N,India,N,Daily Wage,120000,BR980,,Regular small deposit - compliant,,
TXN0056,2024-03-07,CUST1055,Shivam Enterprises,Proprietorship,2023-05-18,Medium,Full_KYC_Completed,Cash Deposit,675000,INR,Cash,N,India,N,Electronics,8000000,BR055,AGT034,Weekly sales deposit,,
TXN0057,2024-03-07,CUST9021,Hidden Assets Ltd,Company,2022-09-01,Low,Full_KYC_Completed,Wire Transfer,18000000,INR,SWIFT,N,BVI,N,Holding,5000000,BR979,,Transaction to shell company jurisdiction - risk not reassessed,R-003|R-011,Shell Company Transaction - Risk Assessment Required
TXN0058,2024-03-06,CUST1057,Global Trade Links,Company,2019-08-19,High,Full_KYC_Completed,Wire Transfer,12500000,INR,SWIFT,N,Thailand,N,Export,75000000,BR057,,Payment to Bangkok supplier - compliant with monitoring,,
TXN0059,2024-03-06,CUST9022,Prem Kumar,Individual,2023-12-15,Low,Full_KYC_Completed,Cash Deposit,450000,INR,Cash,N,India,N,Retired,300000,BR978,,Cash deposit exceeds annual income significantly,R-011,Transaction Inconsistent with Income Profile
TXN0060,2024-03-05,CUST1060,Pankaj Mishra,Individual,2023-06-30,Low,Full_KYC_Completed,Demand Draft,150000,INR,DD,N,India,N,Engineer,1800000,BR060,,DD for sister's marriage,,
TXN0061,2024-03-05,CUST9023,Shakti Bullion House,Partnership,2020-11-01,Medium,Full_KYC_Completed,Cash Deposit,22500000,INR,Cash,N,India,N,Bullion Dealer,10000000,BR977,AGT111,Bullion dealer with medium risk category - should be high,R-018,Bullion Dealer - Incorrect Risk Category
TXN0062,2024-03-04,CUST1062,Sunita Devi,Individual,2024-02-15,Low,Full_KYC_Completed,Cash Deposit,18000,INR,Cash,N,India,N,Agriculture,120000,BR062,,Vegetable sales - compliant,,
TXN0063,2024-03-04,CUST9024,Expert Legal Solutions,Firm,2023-08-10,High,Full_KYC_Completed,Online Transfer,7500000,INR,RTGS,N,India,N,Legal Firm,25000000,BR976,,Account held for undisclosed client - lawyer refuses to name client,R-019,Lawyer Account - Beneficial Owner Not Disclosed
TXN0064,2024-03-03,CUST1065,Sahyadri Farms,Partnership,2019-12-20,Medium,Full_KYC_Completed,Cash Deposit,890000,INR,Cash,N,India,N,Agriculture,18000000,BR065,,Seasonal harvest sale,,
TXN0065,2024-03-03,CUST9025,Rapid Trade International,Company,2024-02-01,Not_Rated,Partial_KYC,Wire Transfer,12000000,INR,SWIFT,N,UAE,N,Trading,0,BR975,,Account opened without full KYC - high-value international transfer,R-002,Account Opened Without Full KYC
TXN0066,2024-03-02,CUST1067,Northern Exports,Company,2020-05-05,High,Full_KYC_Completed,Wire Transfer,5600000,INR,SWIFT,N,Germany,N,Export,68000000,BR067,,Export proceeds - compliant,,
TXN0067,2024-03-02,CUST9026,Anil Sharma,Individual,2023-11-20,Low,Partial_KYC,Cash Deposit,75000,INR,Cash,N,India,N,Shop Assistant,180000,BR974,,Simplified KYC account with balance exceeding 50k - should trigger full KYC,R-006|R-007,Simplified KYC Balance Limit Breach
TXN0068,2024-03-01,CUST1070,Deepak Jain,Individual,2023-05-10,Medium,Full_KYC_Completed,Cash Withdrawal,350000,INR,Cash,N,India,N,Trader,8000000,BR070,,Stock purchase - compliant,,
TXN0069,2024-03-01,CUST9027,International Trust Services,Trust,2023-12-01,Medium,Partial_KYC,Wire Transfer,8500000,INR,SWIFT,N,Switzerland,N,Trust,0,BR973,,Trust account without identifying settlors and beneficiaries,R-019|Annex-VII,Trust Account - Beneficiaries Not Identified
TXN0070,2024-02-29,CUST1073,Sri Sai Agencies,Proprietorship,2022-07-14,Medium,Full_KYC_Completed,Cash Deposit,1120000,INR,Cash,N,India,N,Distribution,14000000,BR073,,Monthly collection,,
TXN0071,2024-02-29,CUST9028,Mohammad Bin Salman,Individual,2024-02-25,Low,Full_KYC_Completed,Wire Transfer,5000000,INR,SWIFT,N,Saudi Arabia,Y,Foreign Royalty,100000000,BR972,,PEP account opened without enhanced due diligence,R-008,PEP - No Enhanced Due Diligence
TXN0072,2024-02-28,CUST1075,Heritage Jewellers,Partnership,2017-09-15,High,Full_KYC_Completed,Cash Deposit,4500000,INR,Cash,N,India,N,Jewellery,60000000,BR075,AGT112,High-risk jewellery transaction with proper categorization,,
TXN0073,2024-02-28,CUST9029,Structured Finance Ltd,Company,2023-06-15,Medium,Full_KYC_Completed,Wire Transfer,50000000,INR,SWIFT,N,Cayman Islands,N,Finance,100000000,BR971,,Complex transaction to offshore center without enhanced due diligence,R-011|R-029,Complex Unusual Transaction - No Enhanced Review
TXN0074,2024-02-27,CUST1078,Geeta Enterprises,Proprietorship,2023-01-18,Medium,Full_KYC_Completed,Cash Withdrawal,475000,INR,Cash,N,India,N,Retail,5500000,BR078,AGT045,Inventory purchase - compliant,,
TXN0075,2024-02-27,CUST9030,Vijay Mallya,Individual,2022-04-22,High,Full_KYC_Completed,Wire Transfer,8500000,INR,SWIFT,N,UK,Y,Corporate Executive,50000000,BR079,,PEP - enhanced monitoring applied,,
TXN0076,2024-02-26,CUST1081,Lucky Enterprises,Partnership,2019-03-25,Medium,Full_KYC_Completed,Cash Deposit,920000,INR,Cash,N,India,N,General Store,10000000,BR081,,Monthly sales,,
TXN0077,2024-02-26,CUST9031,Ravi Patel,Individual,2023-09-10,Low,Full_KYC_Completed,Cash Deposit,1200000,INR,Cash,N,India,N,Farm Labor,150000,BR970,,Large cash deposit inconsistent with occupation,R-011,Income-Occupation Mismatch
TXN0078,2024-02-25,CUST1084,Rekha Sharma,Individual,2024-02-05,Low,Partial_KYC,Cash Deposit,15000,INR,Cash,N,India,N,Homemaker,0,BR084,,Savings from household budget - within simplified limits,,
TXN0079,2024-02-25,CUST9032,Golden Gate Investments,Company,2023-05-20,Medium,Full_KYC_Completed,Wire Transfer,15000000,INR,SWIFT,N,Panama,N,Investment,5000000,BR969,,Transaction to Panama without enhanced due diligence,R-011|R-037,High-Risk Jurisdiction - Panama
TXN0080,2024-02-24,CUST1087,Organic Farms Ltd,Company,2020-04-17,Medium,Full_KYC_Completed,Cash Deposit,580000,INR,Cash,N,India,N,Agriculture,25000000,BR087,,Seasonal produce sale,,
TXN0081,2024-02-24,CUST9033,Sneha Gupta,Individual,2024-01-15,Low,No_KYC,Online Transfer,250000,INR,NEFT,N,India,N,Student,0,BR968,,Account opened without any KYC documentation,R-001|R-002,No KYC - Account Opened
TXN0082,2024-02-23,CUST1090,Ramesh Chandra,Individual,2023-12-10,Low,Full_KYC_Completed,Cash Deposit,22000,INR,Cash,N,India,N,Rickshaw Driver,120000,BR090,,Daily earnings savings,,
TXN0083,2024-02-23,CUST9034,Fast Remit Services,Firm,2024-01-20,Medium,Partial_KYC,Wire Transfer,7500000,INR,SWIFT,N,Somalia,N,Money Transfer,0,BR967,,Multiple transactions to Somalia without enhanced due diligence,R-013|R-037,High-Risk Jurisdiction - No Enhanced Monitoring
TXN0084,2024-02-22,CUST1093,Highland Tea,Partnership,2019-09-30,Medium,Full_KYC_Completed,Cash Deposit,495000,INR,Cash,N,India,N,Tea Trading,8000000,BR093,,Auction proceeds,,
TXN0085,2024-02-22,CUST9035,Rahul Mehra,Individual,2023-08-15,Low,Full_KYC_Completed,Cash Deposit,50000,INR,Cash,N,India,N,Salaried,600000,BR966,,Multiple small deposits aggregating 9.8 lakhs in month - structured,R-010|R-011,Structuring - CTR Threshold
TXN0086,2024-02-21,CUST1096,Mohammad Ali,Individual,2023-11-28,Low,Full_KYC_Completed,Online Transfer,18500,INR,IMPS,N,India,N,Tailor,180000,BR096,,Family support,,
TXN0087,2024-02-21,CUST9036,International Bullion Corp,Company,2021-03-10,Medium,Full_KYC_Completed,Cash Deposit,28000000,INR,Cash,N,India,N,Bullion,50000000,BR965,AGT444,Bullion dealer not categorized as high risk - no enhanced monitoring,R-018,Bullion Dealer - Incorrect Risk Category
TXN0088,2024-02-20,CUST1099,Punjab Tractors,Partnership,2017-12-12,Medium,Full_KYC_Completed,Cash Deposit,785000,INR,Cash,N,India,N,Agricultural Equipment,15000000,BR099,,Seasonal sales,,
TXN0089,2024-02-20,CUST9037,Sham Lal,Individual,2024-01-25,Low,Partial_KYC,Cash Deposit,185000,INR,Cash,N,India,N,Retired,240000,BR964,,Simplified KYC account - cumulative deposits exceed 1 lakh,R-006|R-007,Simplified KYC Annual Limit Exceeded
TXN0090,2024-02-19,CUST1102,Pradeep Sharma,Individual,2024-02-12,Low,Partial_KYC,Cash Deposit,72000,INR,Cash,N,India,N,Carpenter,240000,BR102,AGT089,Exceeds simplified KYC single deposit limit,,
TXN0091,2024-02-19,CUST9038,Prime Legal Associates,Firm,2023-10-01,High,Full_KYC_Completed,Online Transfer,12000000,INR,RTGS,N,India,N,Law Firm,50000000,BR963,,Law firm account with pooled client funds - beneficial owners not identified,R-019,Pooled Account - Beneficial Owners Not Identified
TXN0092,2024-02-18,CUST1105,Shiv Shakti Traders,Partnership,2021-03-19,Medium,Full_KYC_Completed,Cash Deposit,625000,INR,Cash,N,India,N,Wholesale,8500000,BR105,,Weekly collection,,
TXN0093,2024-02-18,CUST9039,Star Mining Corp,Company,2020-01-15,Medium,Full_KYC_Completed,Wire Transfer,35000000,INR,SWIFT,N,DRC,N,Mining,100000000,BR962,,Transaction to high-risk mining jurisdiction - no enhanced due diligence,R-011|R-037,High-Risk Jurisdiction - No Enhanced Monitoring
TXN0094,2024-02-17,CUST1108,Savita Sharma,Individual,2024-01-08,Low,Full_KYC_Completed,Cheque Deposit,65000,INR,Cheque,N,India,N,Teacher,600000,BR108,,Tuition fees received,,
TXN0095,2024-02-17,CUST9040,Fast Capital Partners,Firm,2023-12-01,Not_Rated,Partial_KYC,Wire Transfer,5000000,INR,SWIFT,N,Malta,N,Investment,0,BR961,,Firm account with no risk categorization and incomplete KYC,R-002|R-003,No Risk Categorization - Incomplete KYC
TXN0096,2024-02-16,CUST1111,Adarsh Enterprises,Proprietorship,2022-08-29,Medium,Full_KYC_Completed,Cash Deposit,490000,INR,Cash,N,India,N,Stationery,5800000,BR111,,Monthly sales,,
TXN0097,2024-02-16,CUST9041,Sultan Al Nahyan,Individual,2024-02-10,Low,Full_KYC_Completed,Wire Transfer,3000000,INR,SWIFT,N,UAE,Y,Foreign Royalty,200000000,BR960,,PEP account opened without senior management approval,R-008,PEP - No Senior Management Approval
TXN0098,2024-02-15,CUST1114,Sneha Patel,Individual,2024-02-18,Low,Partial_KYC,Cash Deposit,55000,INR,Cash,N,India,N,Freelancer,480000,BR114,,Project payment - within simplified limits,,
TXN0099,2024-02-15,CUST9042,Gold Star Jewellers,Partnership,2018-05-20,Medium,Full_KYC_Completed,Cash Deposit,18000000,INR,Cash,N,India,N,Jewellery,25000000,BR959,AGT555,Jeweller not categorized as high risk - medium risk incorrectly assigned,R-018,Jeweller - Incorrect Risk Category
TXN0100,2024-02-14,CUST1117,Mumbai Dabbawala,Proprietorship,2019-04-11,Medium,Full_KYC_Completed,Cash Deposit,215000,INR,Cash,N,India,N,Food Service,3500000,BR117,,Monthly collections,,
TXN0101,2024-02-14,CUST9043,Navneet Kumar,Individual,2023-07-01,Low,Full_KYC_Completed,Online Transfer,1800000,INR,RTGS,N,India,N,Office Assistant,360000,BR958,,Transaction amount 5x annual income - suspicious pattern,R-011,Income-Transaction Discrepancy
TXN0102,2024-02-13,CUST1120,Kamal Hassan,Individual,2023-08-07,Low,Full_KYC_Completed,Cheque Deposit,180000,INR,Cheque,N,India,N,Film Artist,2500000,BR120,,Acting fee - compliant,,
TXN0103,2024-02-13,CUST9044,Rapid Trade International,Company,2024-01-15,Low,Partial_KYC,Wire Transfer,9500000,INR,SWIFT,N,Turkmenistan,N,Trading,0,BR957,,Transaction to Turkmenistan (FATF deficient) without enhanced due diligence,R-037,FATF Deficient Jurisdiction - Turkmenistan
TXN0104,2024-02-12,CUST1123,Urban Fashion,Proprietorship,2022-04-07,Medium,Full_KYC_Completed,Cash Deposit,365000,INR,Cash,N,India,N,Clothing Retail,4800000,BR123,AGT034,Weekly deposit,,
TXN0105,2024-02-12,CUST9045,Wealth Management Ltd,Company,2023-08-01,High,Full_KYC_Completed,RTGS Transfer,25000000,INR,RTGS,N,India,N,Investment,100000000,BR956,,KYC/AML records not reviewed in 2 years for high-risk category,R-005,KYC Updation Periodicity Violation
TXN0106,2024-02-11,CUST1126,Ravi Shastri,Individual,2023-04-28,Medium,Full_KYC_Completed,Cash Withdrawal,750000,INR,Cash,N,India,N,Sports Commentator,15000000,BR126,,Cash for investment - compliant,,
TXN0107,2024-02-11,CUST9046,Confidential Trust Services,Trust,2023-09-15,High,Partial_KYC,Wire Transfer,12000000,INR,SWIFT,N,Switzerland,N,Trust,0,BR955,,Trust account without identifying protectors and beneficiaries,R-019|Annex-VII,Trust - Beneficiaries and Protectors Not Identified
TXN0108,2024-02-10,CUST1129,Agro Exports Ltd,Company,2019-10-16,High,Full_KYC_Completed,Wire Transfer,8200000,INR,SWIFT,N,Netherlands,N,Export,95000000,BR129,,Export proceeds,,
TXN0109,2024-02-10,CUST9047,Mohammed Al-Fayed,Individual,2024-02-01,Low,Full_KYC_Completed,Cash Deposit,3000000,INR,Cash,N,Egypt,Y,Businessman,50000000,BR954,,PEP account without source of funds verification,R-008,PEP - Source of Funds Not Verified
TXN0110,2024-02-09,CUST1132,Ayesha Khan,Individual,2023-12-22,Low,Full_KYC_Completed,Cash Deposit,23000,INR,Cash,N,India,N,Designer,360000,BR132,,Freelance payment,,
TXN0111,2024-02-09,CUST9048,Global Shell Corp,Company,2023-10-15,Medium,Full_KYC_Completed,Wire Transfer,40000000,INR,SWIFT,N,BVI,N,Holding,0,BR953,,Complex transaction to BVI with no apparent economic purpose,R-011|R-029,Complex Unusual Transaction - No Economic Purpose
TXN0112,2024-02-08,CUST1135,Kerala Spices,Partnership,2017-11-14,Medium,Full_KYC_Completed,Cash Deposit,670000,INR,Cash,N,India,N,Spice Trading,11000000,BR135,,Seasonal sale,,
TXN0113,2024-02-08,CUST9049,Suresh Agarwal,Individual,2023-11-01,Low,Full_KYC_Completed,Cash Deposit,95000,INR,Cash,N,India,N,Retired Banker,720000,BR952,,Series of 8 cash deposits of 95k each in one month,R-010|R-011,Structuring - Repeated CTR Threshold Avoidance
